date,itemname,packunits,expiry,price,looseqty
24/10/2022,PANADOL TAB,200,8/24/24,1.87,150
25/10/2022,PANADOL TAB,200,8/24/24,1.87,44
26/10/2022,PANADOL TAB,200,8/24/24,1.87,40
27/10/2022,PANADOL TAB,200,8/24/24,1.87,30
28/10/2022,PANADOL TAB,200,8/24/24,1.87,292
29/10/2022,PANADOL TAB,200,12/12/24,1.87,140
30/10/2022,PANADOL TAB,200,12/12/24,1.87,340
01/11/2022,PANADOL TAB,200,12/12/24,1.87,16
02/11/2022,PANADOL TAB,200,12/12/24,1.87,40
03/11/2022,PANADOL TAB,200,12/12/24,1.59,40
05/11/2022,PANADOL TAB,200,12/12/24,1.87,30
06/11/2022,PANADOL TAB,200,12/12/24,1.59,4
15/11/2022,PANADOL TAB,200,12/12/24,7.0,10
19/11/2022,PANADOL TAB,200,9/16/24,7.0,50
20/11/2022,PANADOL TAB,200,9/16/24,1.87,110
21/11/2022,PANADOL TAB,200,9/16/24,1.87,70
22/11/2022,PANADOL TAB,200,9/16/24,1.87,40
23/11/2022,PANADOL TAB,200,9/16/24,1.87,32
24/11/2022,PANADOL TAB,200,9/16/24,1.87,30
25/11/2022,PANADOL TAB,200,9/16/24,1.87,70
26/11/2022,PANADOL TAB,200,9/16/24,1.87,122
27/11/2022,PANADOL TAB,200,9/16/24,1.87,34
29/11/2022,PANADOL TAB,200,9/16/24,7.0,200
30/11/2022,PANADOL TAB,200,9/17/24,2.37,41
01/12/2022,PANADOL TAB,200,9/17/24,2.37,60
02/12/2022,PANADOL TAB,200,9/17/24,2.37,189
03/12/2022,PANADOL TAB,200,9/17/24,2.35,172
04/12/2022,PANADOL TAB,200,12/12/24,2.35,120
05/12/2022,PANADOL TAB,200,12/12/24,2.35,40
06/12/2022,PANADOL TAB,200,12/12/24,2.35,106
07/12/2022,PANADOL TAB,200,12/12/24,2.35,112
08/12/2022,PANADOL TAB,200,12/12/24,2.35,10
09/12/2022,PANADOL TAB,200,10/17/24,2.35,54
10/12/2022,PANADOL TAB,200,10/17/24,2.35,197
11/12/2022,PANADOL TAB,200,10/17/24,2.35,50
12/12/2022,PANADOL TAB,200,10/17/24,2.35,195
13/12/2022,PANADOL TAB,200,10/17/24,2.35,60
14/12/2022,PANADOL TAB,200,10/17/24,2.35,136
15/12/2022,PANADOL TAB,200,10/17/24,2.35,80
16/12/2022,PANADOL TAB,200,10/17/24,2.35,82
17/12/2022,PANADOL TAB,200,10/1/24,2.35,122
18/12/2022,PANADOL TAB,200,10/1/24,2.35,80
19/12/2022,PANADOL TAB,200,10/1/24,2.35,259
20/12/2022,PANADOL TAB,200,10/1/24,2.35,176
21/12/2022,PANADOL TAB,200,10/1/24,2.35,138
22/12/2022,PANADOL TAB,200,10/1/24,2.35,230
23/12/2022,PANADOL TAB,200,10/17/24,2.0,326
24/12/2022,PANADOL TAB,200,11/2/24,2.35,154
25/12/2022,PANADOL TAB,200,11/2/24,2.35,152
26/12/2022,PANADOL TAB,200,11/2/24,2.35,129
27/12/2022,PANADOL TAB,200,11/2/24,2.35,117
28/12/2022,PANADOL TAB,200,11/2/24,2.35,160
29/12/2022,PANADOL TAB,200,11/2/24,2.0,166
30/12/2022,PANADOL TAB,200,11/2/24,2.35,185
01/01/2023,PANADOL TAB,200,11/2/24,2.35,106
02/01/2023,PANADOL TAB,200,11/2/24,2.35,222
03/01/2023,PANADOL TAB,200,11/2/24,2.35,180
04/01/2023,PANADOL TAB,200,11/2/24,2.35,164
05/01/2023,PANADOL TAB,200,11/2/24,2.35,361
06/01/2023,PANADOL TAB,200,11/2/24,2.35,130
07/01/2023,PANADOL TAB,200,11/2/24,2.35,140
08/01/2023,PANADOL TAB,200,11/16/24,2.35,123
09/01/2023,PANADOL TAB,200,11/16/24,2.35,160
10/01/2023,PANADOL TAB,200,11/16/24,2.35,127
11/01/2023,PANADOL TAB,200,11/16/24,2.35,135
12/01/2023,PANADOL TAB,200,11/16/24,2.35,108
13/01/2023,PANADOL TAB,200,11/16/24,2.35,180
14/01/2023,PANADOL TAB,200,11/1/24,2.35,172
15/01/2023,PANADOL TAB,200,11/1/24,2.35,120
16/01/2023,PANADOL TAB,200,11/16/24,2.35,73
17/01/2023,PANADOL TAB,200,11/16/24,2.35,102
18/01/2023,PANADOL TAB,200,11/16/24,2.35,132
19/01/2023,PANADOL TAB,200,11/16/24,2.35,172
20/01/2023,PANADOL TAB,200,12/12/24,2.35,100
21/01/2023,PANADOL TAB,200,11/22/24,2.35,223
22/01/2023,PANADOL TAB,200,11/22/24,2.35,97
23/01/2023,PANADOL TAB,200,11/22/24,2.35,88
24/01/2023,PANADOL TAB,200,11/22/24,2.35,100
25/01/2023,PANADOL TAB,200,11/22/24,2.35,110
26/01/2023,PANADOL TAB,200,11/22/24,2.35,50
27/01/2023,PANADOL TAB,200,11/22/24,2.35,182
28/01/2023,PANADOL TAB,200,11/22/24,2.35,296
29/01/2023,PANADOL TAB,200,11/22/24,2.35,189
30/01/2023,PANADOL TAB,200,11/22/24,2.35,230
01/02/2023,PANADOL TAB,200,11/23/24,2.35,142
02/02/2023,PANADOL TAB,200,11/23/24,2.35,106
03/02/2023,PANADOL TAB,200,11/23/24,2.35,252
04/02/2023,PANADOL TAB,200,11/23/24,2.35,136
05/02/2023,PANADOL TAB,200,11/23/24,2.35,178
06/02/2023,PANADOL TAB,200,11/23/24,2.35,195
07/02/2023,PANADOL TAB,200,11/23/24,2.35,166
08/02/2023,PANADOL TAB,200,11/23/24,2.35,136
09/02/2023,PANADOL TAB,200,11/23/24,2.35,110
10/02/2023,PANADOL TAB,200,11/23/24,2.35,130
11/02/2023,PANADOL TAB,200,11/23/24,2.35,212
12/02/2023,PANADOL TAB,200,11/30/24,2.35,200
13/02/2023,PANADOL TAB,200,11/30/24,2.35,100
14/02/2023,PANADOL TAB,200,11/30/24,2.35,80
15/02/2023,PANADOL TAB,200,11/30/24,2.35,150
16/02/2023,PANADOL TAB,200,12/6/24,2.35,100
17/02/2023,PANADOL TAB,200,12/6/24,2.35,224
18/02/2023,PANADOL TAB,200,12/1/24,2.35,216
19/02/2023,PANADOL TAB,200,12/1/24,2.35,272
20/02/2023,PANADOL TAB,200,12/1/24,2.35,255
21/02/2023,PANADOL TAB,200,12/1/24,2.35,149
22/02/2023,PANADOL TAB,200,12/6/24,2.35,178
23/02/2023,PANADOL TAB,200,12/6/24,2.35,160
24/02/2023,PANADOL TAB,200,12/6/24,2.35,382
25/02/2023,PANADOL TAB,200,12/12/24,2.35,310
26/02/2023,PANADOL TAB,200,12/12/24,2.35,346
27/02/2023,PANADOL TAB,200,12/12/24,2.35,556
28/02/2023,PANADOL TAB,200,12/12/24,2.35,347
01/03/2023,PANADOL TAB,200,12/12/24,2.35,490
02/03/2023,PANADOL TAB,200,12/12/24,2.35,297
03/03/2023,PANADOL TAB,200,12/12/24,2.35,285
04/03/2023,PANADOL TAB,200,12/12/24,2.35,466
05/03/2023,PANADOL TAB,200,12/12/24,2.35,351
06/03/2023,PANADOL TAB,200,12/12/24,2.35,371
07/03/2023,PANADOL TAB,200,12/12/24,2.35,345
08/03/2023,PANADOL TAB,200,12/12/24,2.35,242
09/03/2023,PANADOL TAB,200,12/12/24,2.35,366
10/03/2023,PANADOL TAB,200,12/12/24,2.35,294
11/03/2023,PANADOL TAB,200,12/12/24,2.35,404
12/03/2023,PANADOL TAB,200,12/12/24,2.35,282
13/03/2023,PANADOL TAB,200,12/12/24,2.35,348
14/03/2023,PANADOL TAB,200,12/12/24,2.35,282
15/03/2023,PANADOL TAB,200,12/12/24,2.35,238
16/03/2023,PANADOL TAB,200,12/12/24,2.35,364
17/03/2023,PANADOL TAB,200,12/12/24,2.35,327
18/03/2023,PANADOL TAB,200,12/12/24,2.35,256
19/03/2023,PANADOL TAB,200,12/12/24,2.35,285
20/03/2023,PANADOL TAB,200,12/12/24,2.35,479
21/03/2023,PANADOL TAB,200,12/12/24,2.35,291
22/03/2023,PANADOL TAB,200,12/12/24,2.35,245
23/03/2023,PANADOL TAB,200,12/12/24,2.35,298
24/03/2023,PANADOL TAB,200,12/12/24,2.35,216
25/03/2023,PANADOL TAB,200,12/12/24,2.35,380
26/03/2023,PANADOL TAB,200,12/12/24,2.35,314
27/03/2023,PANADOL TAB,200,12/12/24,2.35,382
28/03/2023,PANADOL TAB,200,12/12/24,2.35,438
29/03/2023,PANADOL TAB,200,12/12/24,2.35,407
30/03/2023,PANADOL TAB,200,12/12/24,2.35,320
01/04/2023,PANADOL TAB,200,12/12/24,2.67,406
02/04/2023,PANADOL TAB,200,12/12/24,2.67,480
03/04/2023,PANADOL TAB,200,12/18/24,2.67,398
04/04/2023,PANADOL TAB,200,12/18/24,2.67,332
05/04/2023,PANADOL TAB,200,12/18/24,2.67,353
06/04/2023,PANADOL TAB,200,12/18/24,2.67,485
07/04/2023,PANADOL TAB,200,12/25/24,2.67,439
08/04/2023,PANADOL TAB,200,12/25/24,2.67,370
09/04/2023,PANADOL TAB,200,12/25/24,2.67,82
10/04/2023,PANADOL TAB,200,12/25/24,2.67,352
11/04/2023,PANADOL TAB,200,12/25/24,2.67,387
12/04/2023,PANADOL TAB,200,12/25/24,2.67,333
13/04/2023,PANADOL TAB,200,12/25/24,2.67,356
14/04/2023,PANADOL TAB,200,12/25/24,2.67,412
15/04/2023,PANADOL TAB,200,2/1/25,2.67,269
16/04/2023,PANADOL TAB,200,2/1/25,2.67,335
17/04/2023,PANADOL TAB,200,2/1/25,2.67,442
18/04/2023,PANADOL TAB,200,2/1/25,2.67,607
19/04/2023,PANADOL TAB,200,2/1/25,2.67,478
20/04/2023,PANADOL TAB,200,2/6/25,2.67,453
21/04/2023,PANADOL TAB,200,2/1/25,2.67,526
22/04/2023,PANADOL TAB,200,2/1/25,2.67,422
23/04/2023,PANADOL TAB,200,2/1/25,2.67,451
24/04/2023,PANADOL TAB,200,2/1/25,2.67,413
25/04/2023,PANADOL TAB,200,2/1/25,2.67,504
26/04/2023,PANADOL TAB,200,2/1/25,2.67,570
27/04/2023,PANADOL TAB,200,2/1/25,2.67,473
28/04/2023,PANADOL TAB,200,2/1/25,2.67,445
29/04/2023,PANADOL TAB,200,2/1/25,2.67,509
30/04/2023,PANADOL TAB,200,2/1/25,2.67,408
01/05/2023,PANADOL TAB,200,2/1/25,2.67,393
02/05/2023,PANADOL TAB,200,2/6/25,2.67,446
03/05/2023,PANADOL TAB,200,2/1/25,2.67,609
04/05/2023,PANADOL TAB,200,2/1/25,2.67,329
05/05/2023,PANADOL TAB,200,2/1/25,2.67,481
06/05/2023,PANADOL TAB,200,12/12/24,2.67,338
07/05/2023,PANADOL TAB,200,2/1/25,2.67,429
08/05/2023,PANADOL TAB,200,2/1/25,2.67,682
09/05/2023,PANADOL TAB,200,12/12/24,2.67,911
10/05/2023,PANADOL TAB,200,12/25/24,2.67,355
11/05/2023,PANADOL TAB,200,2/1/25,2.67,421
12/05/2023,PANADOL TAB,200,2/1/25,2.67,280
13/05/2023,PANADOL TAB,200,2/1/25,2.67,360
14/05/2023,PANADOL TAB,200,2/1/25,2.67,742
15/05/2023,PANADOL TAB,200,2/1/25,2.67,509
16/05/2023,PANADOL TAB,200,2/1/25,2.67,316
17/05/2023,PANADOL TAB,200,2/1/25,2.67,240
18/05/2023,PANADOL TAB,200,2/1/25,2.67,316
19/05/2023,PANADOL TAB,200,2/1/25,2.67,670
20/05/2023,PANADOL TAB,200,2/1/25,2.67,262
21/05/2023,PANADOL TAB,200,2/1/25,2.67,256
22/05/2023,PANADOL TAB,200,2/1/25,2.67,224
23/05/2023,PANADOL TAB,200,2/1/25,2.67,267
